Question,A,B,C,D,0
Choose The Correct Spelling,Cantankerous,Centankerous,Centenkerous,Cantenkerous,1
Choose The Correct Spelling,Duktile,Duaktile,Ductile,Ducctile,3
Choose The Correct Spelling,Salamandar,Salamander,Salamender,Selamender,3
Choose The Correct Spelling,Wolvarine,Wolverine,Wolverene,Wollverene,2
Choose The Correct Spelling,Bequeath,Bequeth,Bequeat,Bequeat,1
Choose The Correct Spelling,Hacenda,Hacanda,Hacienda,Hecienda,2
Choose The Correct Spelling,Horsemanship,Horsemenship,Horsmanship,Hoorsmanship,3
Choose The Correct Spelling,Mayonneise,Mayonnaise,Mayonaise,Mayyonaise,2
Choose The Correct Spelling,Quandaery,Quandery,Quandary,Quaandary,3
Choose The Correct Spelling,Supererogatory,Supererogetory,Superarogatory,Supperarogatory,1
Choose The Correct Spelling,Judgmental,Judgmentel,Judgmantal,Judgmaantal,3

